Week,Pos_Count
2021-03-18,18
2021-02-10,18
2020-10-06,68
2020-08-27,30
2020-06-19,12
2020-05-21,11
2020-05-13,10
2020-04-09,20
2019-11-25,34
2019-10-09,16
2019-10-08,60
2019-10-07,14
2019-10-04,15
2019-08-23,43
2019-07-16,49
2019-06-25,33
2019-06-04,15
2019-05-20,46
2019-05-09,28
2019-03-11,9
2019-03-08,51
2019-02-28,42
2019-02-12,19
2019-02-06,31
2018-12-06,25
2018-12-03,23
2018-11-28,55
2018-10-02,31
2018-09-27,23
2018-08-24,43
2018-06-20,32
2018-05-25,56
2018-05-08,7
2018-04-06,51
2018-02-13,26
2017-11-02,37
2017-10-18,47
2017-10-12,22
2017-10-05,18
2017-08-30,41
2017-07-06,39
2017-06-26,33
2017-06-23,41
2017-06-01,18
2017-04-20,29
2017-04-05,11
2017-03-28,20
2017-03-03,48
2017-02-22,13
2017-01-07,13
2016-11-30,23
2016-11-29,47
2016-11-18,36
2016-10-24,2
2016-09-29,51
2016-06-28,72
2016-06-21,5
2016-05-26,61
2016-02-26,15
