Week,Count
2021-02-08,11
2020-10-05,21
2020-08-24,24
2020-06-15,1
2020-05-11,1
2020-04-06,3
2019-11-25,25
2019-10-07,42
2019-09-30,5
2019-08-19,26
2019-07-15,28
2019-06-24,13
2019-06-03,11
2019-05-20,6
2019-05-06,1
2019-03-04,8
2019-02-25,4
2019-02-11,2
2019-02-04,1
2018-12-03,3
2018-11-26,10
2018-10-01,39
2018-08-20,30
2018-06-18,13
2018-05-21,4
2018-05-07,1
2018-04-02,30
2018-02-12,3
2017-10-30,7
2017-10-16,2
2017-10-09,5
2017-10-02,12
2017-07-03,6
2017-06-26,2
2017-06-19,10
2017-05-29,11
2017-04-17,4
2017-03-27,2
2017-02-27,7
2017-02-20,3
2017-01-02,4
2016-11-28,27
2016-11-14,20
2016-10-24,4
2016-09-26,4
2016-06-27,40
2016-06-20,8
2016-05-23,20
2016-02-22,3
