week,favorites
2015-12-28,243732
2016-01-04,349430
2016-01-11,435835
2016-01-18,492822
2016-01-25,761643
2016-02-01,553798
2016-02-08,773441
2016-02-15,669279
2016-02-22,1236498
2016-02-29,1133935
2016-03-07,1003478
2016-03-14,1562675
2016-03-21,1251787
2016-03-28,901695
2016-04-04,702300
2016-04-11,587638
2016-04-18,642948
2016-04-25,906533
2016-05-02,1047734
2016-05-09,843854
2016-05-16,1326884
2016-05-23,825489
2016-05-30,922116
2016-06-06,1560091
2016-06-13,828083
2016-06-20,1169030
2016-06-27,1004296
2016-07-04,1177205
2016-07-11,1470835
2016-07-18,2116531
2016-07-25,3333894
2016-08-01,1833333
2016-08-08,1373715
2016-08-15,877727
2016-08-22,1355698
2016-08-29,1123389
2016-09-05,1245959
2016-09-12,991112
2016-09-19,1035428
2016-09-26,2132743
2016-10-03,1924067
2016-10-10,3127394
2016-10-17,3344805
2016-10-24,2015307
2016-10-31,1956130
2016-11-07,4028097
2016-11-14,1740082
2016-11-21,1995269
2016-11-28,2453938
2016-12-05,1445970
2016-12-12,1666418
2016-12-19,1923153
2016-12-26,1497788
2017-01-02,3081903
2017-01-09,3019718
2017-01-16,4887149
2017-01-23,4293429
2017-01-30,5411008
2017-02-06,4473491
2017-02-13,3065006
2017-02-20,2419858
2017-02-27,2684392
2017-03-06,1754989
2017-03-13,1677552
2017-03-20,1716662
2017-03-27,2158004
2017-04-03,1287873
2017-04-10,1676285
2017-04-17,2057736
2017-04-24,2091328
2017-05-01,1550271
2017-05-08,2226385
2017-05-15,1148777
2017-05-22,1741548
2017-05-29,2978258
2017-06-05,2320914
2017-06-12,3014580
2017-06-19,3080709
2017-06-26,4580268
2017-07-03,3882607
2017-07-10,3558722
2017-07-17,2635797
2017-07-24,4546436
2017-07-31,2466840
2017-08-07,3084396
2017-08-14,3971996
2017-08-21,3761315
2017-08-28,2520991
2017-09-04,2171294
2017-09-11,2952468
2017-09-18,4873722
2017-09-25,5189740
2017-10-02,3163610
2017-10-09,3535476
2017-10-16,4058086
2017-10-23,3758175
2017-10-30,4967392
2017-11-06,3524057
2017-11-13,3093196
2017-11-20,2938227
2017-11-27,4573665
2017-12-04,2899705
2017-12-11,1960961
2017-12-18,3478774
2017-12-25,3664793
2018-01-01,5018380
2018-01-08,4373789
2018-01-15,4083828
2018-01-22,3131340
2018-01-29,1823105
2018-02-05,3898141
2018-02-12,3088908
2018-02-19,4206940
2018-02-26,2761268
2018-03-05,3264631
2018-03-12,3039517
2018-03-19,2435457
2018-03-26,2313835
2018-04-02,3698443
2018-04-09,3875727
2018-04-16,4862338
2018-04-23,3547327
2018-04-30,3521246
2018-05-07,3947829
2018-05-14,4266872
2018-05-21,4662167
2018-05-28,4261876
2018-06-04,5340524
2018-06-11,6015956
2018-06-18,6352099
2018-06-25,5421322
2018-07-02,4039544
2018-07-09,4068898
2018-07-16,4803604
2018-07-23,6001165
2018-07-30,5529364
2018-08-06,4046296
2018-08-13,6704804
2018-08-20,5426055
2018-08-27,6302024
2018-09-03,5292044
2018-09-10,4717666
2018-09-17,4371538
2018-09-24,3204106
2018-10-01,4475483
2018-10-08,3619886
2018-10-15,5854991
2018-10-22,5420642
2018-10-29,5671249
2018-11-05,5528259
2018-11-12,4452330
2018-11-19,3805779
2018-11-26,4322767
2018-12-03,5636773
2018-12-10,4425991
2018-12-17,6604689
2018-12-24,5796011
2018-12-31,7414456
2019-01-07,6736302
2019-01-14,6662629
2019-01-21,7324551
2019-01-28,5365309
2019-02-04,4520012
2019-02-11,4698509
2019-02-18,6217885
2019-02-25,5162287
2019-03-04,5419367
2019-03-11,6242263
2019-03-18,5657617
2019-03-25,5521695
2019-04-01,5580251
2019-04-08,5909327
2019-04-15,7573891
2019-04-22,6508685
2019-04-29,5908106
2019-05-06,6465892
2019-05-13,6651907
2019-05-20,7802609
2019-05-27,6214895
2019-06-03,6700449
2019-06-10,7133272
2019-06-17,5687853
2019-06-24,5900289
2019-07-01,7869991
2019-07-08,7376166
2019-07-15,9910359
2019-07-22,11261082
2019-07-29,8778598
2019-08-05,6815254
2019-08-12,6490216
2019-08-19,7808251
2019-08-26,6719778
2019-09-02,6336632
2019-09-09,7005538
2019-09-16,6098894
2019-09-23,8674093
2019-09-30,12642320
2019-10-07,9291258
2019-10-14,9571850
2019-10-21,6818808
2019-10-28,8888709
2019-11-04,6718620
2019-11-11,7409698
2019-11-18,6609644
2019-11-25,4037500
2019-12-02,6972448
2019-12-09,8070186
2019-12-16,9214796
2019-12-23,6642586
2019-12-30,8359174
2020-01-06,9712991
2020-01-13,7811633
2020-01-20,10712969
2020-01-27,8007533
2020-02-03,10254283
2020-02-10,7193761
2020-02-17,7823397
2020-02-24,7066717
2020-03-02,8753233
2020-03-09,10655233
2020-03-16,8375569
2020-03-23,11857297
2020-03-30,6368839
2020-04-06,12671694
2020-04-13,9638840
2020-04-20,10820722
2020-04-27,9415027
2020-05-04,8333921
2020-05-11,13710306
2020-05-18,11351719
2020-05-25,19150954
2020-06-01,21972917
2020-06-08,14093004
2020-06-15,11467265
2020-06-22,12875887
2020-06-29,10775204
2020-07-06,11240123
2020-07-13,6443087
2020-07-20,6704455
2020-07-27,11184234
2020-08-03,8404032
2020-08-10,10587452
2020-08-17,12679836
2020-08-24,15317968
2020-08-31,13457717
2020-09-07,16162336
2020-09-14,13075878
2020-09-21,9760726
2020-09-28,17948086
2020-10-05,25832018
2020-10-12,22534232
2020-10-19,19185104
2020-10-26,29643792
2020-11-02,30250389
2020-11-09,38634952
2020-11-16,26092923
2020-11-23,17435720
2020-11-30,20700845
2020-12-07,23168869
2020-12-14,15644906
2020-12-21,15130123
2020-12-28,17498066
2021-01-04,12112860
2021-02-01,88505
2021-02-08,142835
2021-02-15,112048
2021-02-22,75902
2021-03-01,99731
2021-03-08,61691
2021-03-15,81384
2021-03-22,43611
2021-03-29,120592
2021-04-05,91309
2021-04-12,52428
2021-04-19,62215
2021-04-26,120236
2021-05-03,151632
2021-05-10,205536
2021-05-17,35257
