Week,Sent_Count
2021-05-17,-13
2021-05-10,-16
2021-05-03,-9
2021-04-26,-7
2021-04-19,5
2021-04-12,-3
2021-04-05,-6
2021-03-29,-2
2021-03-22,-2
2021-03-15,-13
2021-03-08,3
2021-03-01,-5
2021-02-22,6
2021-01-04,-20
2020-12-28,-5
2020-12-21,-14
2020-12-14,-6
2020-12-07,-32
2020-11-30,-9
2020-11-23,-15
2020-11-16,-11
2020-11-09,-34
2020-11-02,-23
2020-10-26,31
2020-10-19,7
2020-10-12,0
2020-10-05,-15
2020-09-28,-21
2020-09-21,24
2020-09-14,-11
2020-09-07,-63
2020-08-31,-2
2020-08-24,12
2020-08-17,-33
2020-08-10,38
2020-08-03,-9
2020-07-27,7
2020-07-20,-2
2020-07-13,-9
2020-07-06,-41
2020-06-29,1
2020-06-22,4
2020-06-15,18
2020-06-08,23
2020-06-01,29
2020-05-25,-44
2020-05-18,27
2020-05-11,1
2020-05-04,-5
2020-04-27,-7
2020-04-20,28
2020-04-13,20
2020-04-06,10
2020-03-30,6
2020-03-23,36
2020-03-16,-23
2020-03-09,17
2020-03-02,16
2020-02-24,1
2020-02-17,-31
2020-02-10,5
2020-02-03,19
2020-01-27,-22
2020-01-20,-39
2020-01-13,9
2020-01-06,-13
2019-12-30,9
2019-12-23,-12
2019-12-16,-8
2019-12-09,-23
2019-12-02,-31
2019-11-25,-2
2019-11-18,-41
2019-11-11,-13
2019-11-04,-3
2019-10-28,-47
2019-10-21,2
2019-10-14,0
2019-10-07,-7
2019-09-30,-14
2019-09-23,-30
2019-09-16,12
2019-09-09,31
2019-09-02,27
2019-08-26,5
2019-08-19,37
2019-08-12,20
2019-08-05,-10
2019-07-29,-15
2019-07-22,-55
2019-07-15,26
2019-07-08,44
2019-07-01,16
2019-06-24,47
2019-06-17,11
2019-06-10,26
2019-06-03,8
2019-05-27,4
2019-05-20,5
2019-05-13,28
2019-05-06,-7
2019-04-29,35
2019-04-22,-7
2019-04-15,-4
2019-04-08,3
2019-04-01,0
2019-03-25,-15
2019-03-18,23
2019-03-11,-23
2019-03-04,-7
2019-02-25,1
2019-02-18,2
2019-02-11,0
2019-02-04,7
2019-01-28,1
2019-01-21,17
2019-01-14,6
2019-01-07,-19
2018-12-31,3
2018-12-24,5
2018-12-17,31
2018-12-10,-12
2018-12-03,17
2018-11-26,8
2018-11-19,9
2018-11-12,3
2018-11-05,9
2018-10-29,41
2018-10-22,11
2018-10-15,4
2018-10-08,6
2018-10-01,25
2018-09-24,12
2018-09-17,14
2018-09-10,-3
2018-09-03,24
2018-08-27,1
2018-08-20,-5
2018-08-13,-21
2018-08-06,-5
2018-07-30,35
2018-07-23,23
2018-07-16,18
2018-07-09,1
2018-07-02,1
2018-06-25,25
2018-06-18,1
2018-06-11,25
2018-06-04,7
2018-05-28,-10
2018-05-21,-7
2018-05-14,20
2018-05-07,16
2018-04-30,-9
2018-04-23,17
2018-04-16,-5
2018-04-09,19
2018-04-02,1
2018-03-26,6
2018-03-19,-20
2018-03-12,0
2018-03-05,8
2018-02-26,2
2018-02-19,0
2018-02-12,-7
2018-02-05,-5
2018-01-29,15
2018-01-22,19
2018-01-15,19
2018-01-08,9
2018-01-01,4
2017-12-25,-1
2017-12-18,18
2017-12-11,12
2017-12-04,-16
2017-11-27,-3
2017-11-20,1
2017-11-13,2
2017-11-06,22
2017-10-30,8
2017-10-23,4
2017-10-16,6
2017-10-09,6
2017-10-02,13
2017-09-25,27
2017-09-18,25
2017-09-11,10
2017-09-04,7
2017-08-28,8
2017-08-21,9
2017-08-14,3
2017-08-07,-9
2017-07-31,14
2017-07-24,3
2017-07-17,5
2017-07-10,3
2017-07-03,14
2017-06-26,-16
2017-06-19,8
2017-06-12,2
2017-06-05,2
2017-05-29,-9
2017-05-22,8
2017-05-15,8
2017-05-08,4
2017-05-01,7
2017-04-24,-4
2017-04-17,-4
2017-04-10,8
2017-04-03,12
2017-03-27,7
2017-03-20,11
2017-03-13,7
2017-03-06,8
2017-02-27,-2
2017-02-20,-6
2017-02-13,-2
2017-02-06,-2
2017-01-30,-11
2017-01-23,-12
2017-01-16,6
2017-01-09,-3
2017-01-02,-12
2016-12-26,11
2016-12-19,6
2016-12-12,2
2016-12-05,2
2016-11-28,-2
2016-11-21,-2
2016-11-14,5
2016-11-07,3
2016-10-31,4
2016-10-24,2
2016-10-17,-9
2016-10-10,-11
2016-10-03,0
2016-09-26,4
2016-09-19,-1
2016-09-12,5
2016-09-05,2
2016-08-29,-4
2016-08-22,-9
2016-08-15,-1
2016-08-08,-9
2016-08-01,-33
2016-07-25,-17
2016-07-18,12
2016-07-11,-17
2016-07-04,-8
2016-06-27,-12
2016-06-20,-13
2016-06-13,-2
2016-06-06,-5
2016-05-30,9
2016-05-23,-3
2016-05-16,-9
2016-05-09,-6
2016-05-02,0
2016-04-25,10
2016-04-18,3
2016-04-11,9
2016-04-04,18
2016-03-28,-4
2016-03-21,-3
2016-03-14,-15
2016-03-07,-14
2016-02-29,-1
2016-02-22,15
2016-02-15,-1
2016-02-08,-6
2016-02-01,15
2016-01-25,8
2016-01-18,4
2016-01-11,5
2016-01-04,9
2015-12-28,0
