Week,Neg_Count
2021-04-26,2983
2021-04-19,3094
2021-04-12,2753
2021-04-05,3262
2021-03-29,4989
2021-03-22,456
2021-03-15,4035
2021-03-08,12376
2021-03-01,3531
2021-02-22,4126
2021-02-15,7464
2021-02-08,4783
2021-02-01,11405
2021-01-25,36970
2021-01-18,6610
2021-01-11,4186
2021-01-04,2432
2020-12-28,2949
2020-12-21,2767
2020-12-14,2254
2020-12-07,3385
2020-11-30,3996
2020-11-23,4043
2020-11-16,2058
2020-11-09,1849
2020-11-02,1036
2020-10-26,1993
2020-10-19,2016
2020-10-12,2180
2020-10-05,2105
2020-09-28,1625
2020-09-21,2526
2020-09-14,2646
2020-09-07,2471
2020-08-31,3787
2020-08-24,2378
2020-08-17,2338
2020-08-10,2735
2020-08-03,2849
2020-07-27,2848
2020-07-20,1734
2020-07-13,2219
2020-07-06,2415
2020-06-29,1842
2020-06-22,2205
2020-06-15,3414
2020-06-08,1852
2020-06-01,1337
2020-05-25,2420
2020-05-18,3160
2020-05-11,2562
2020-05-04,3431
2020-04-27,4102
2020-04-20,4656
2020-04-13,4059
2020-04-06,5000
2020-03-30,4526
2020-03-23,5262
2020-03-16,7152
2020-03-09,6499
2020-03-02,4389
2020-02-24,4540
2020-02-17,2514
2020-02-10,1971
2020-02-03,2005
2020-01-27,2057
2020-01-20,1466
2020-01-13,1315
2020-01-06,1203
2019-12-30,784
2019-12-23,577
2019-12-16,746
2019-12-09,687
2019-12-02,1079
2019-11-25,707
2019-11-18,876
2019-11-11,907
2019-11-04,1247
2019-10-28,1389
2019-10-21,1285
2019-10-14,889
2019-10-07,879
2019-09-30,850
2019-09-23,920
2019-09-16,944
2019-09-09,1016
2019-09-02,672
2019-08-26,1065
2019-08-19,1160
2019-08-12,1525
2019-08-05,1030
2019-07-29,813
2019-07-22,713
2019-07-15,706
2019-07-08,557
2019-07-01,484
2019-06-24,602
2019-06-17,590
2019-06-10,512
2019-06-03,652
2019-05-27,834
2019-05-20,692
2019-05-13,547
2019-05-06,642
2019-04-29,588
2019-04-22,622
2019-04-15,650
2019-04-08,615
2019-04-01,424
2019-03-25,437
2019-03-18,679
2019-03-11,570
2019-03-04,533
2019-02-25,424
2019-02-18,614
2019-02-11,541
2019-02-04,651
2019-01-28,551
2019-01-21,577
2019-01-14,738
2019-01-07,420
2018-12-31,660
2018-12-24,451
2018-12-17,570
2018-12-10,456
2018-12-03,489
2018-11-26,594
2018-11-19,310
2018-11-12,523
2018-11-05,485
2018-10-29,529
2018-10-22,744
2018-10-15,736
2018-10-08,868
2018-10-01,676
2018-09-24,820
2018-09-17,721
2018-09-10,686
2018-09-03,440
2018-08-27,445
2018-08-20,490
2018-08-13,613
2018-08-06,599
2018-07-30,561
2018-07-23,658
2018-07-16,582
2018-07-09,516
2018-07-02,304
2018-06-25,574
2018-06-18,683
2018-06-11,536
2018-06-04,430
2018-05-28,407
2018-05-21,450
2018-05-14,328
2018-05-07,419
2018-04-30,452
2018-04-23,365
2018-04-16,335
2018-04-09,439
2018-04-02,481
2018-03-26,284
2018-03-19,421
2018-03-12,286
2018-03-05,325
2018-02-26,335
2018-02-19,163
2018-02-12,254
2018-02-05,701
2018-01-29,349
2018-01-22,216
2018-01-15,122
2018-01-08,215
2018-01-01,152
2017-12-25,102
2017-12-18,150
2017-12-11,146
2017-12-04,258
2017-11-27,206
2017-11-20,156
2017-11-13,205
2017-11-06,143
2017-10-30,253
2017-10-23,274
2017-10-16,255
2017-10-09,242
2017-10-02,283
2017-09-25,325
2017-09-18,251
2017-09-11,268
2017-09-04,148
2017-08-28,101
2017-08-21,191
2017-08-14,212
2017-08-07,248
2017-07-31,257
2017-07-24,239
2017-07-17,211
2017-07-10,246
2017-07-03,130
2017-06-26,280
2017-06-19,278
2017-06-12,215
2017-06-05,351
2017-05-29,124
2017-05-22,177
2017-05-15,277
2017-05-08,361
2017-05-01,274
2017-04-24,176
2017-04-17,191
2017-04-10,237
2017-04-03,295
2017-03-27,330
2017-03-20,389
2017-03-13,382
2017-03-06,382
2017-02-27,400
2017-02-20,359
2017-02-13,449
2017-02-06,356
2017-01-30,329
2017-01-23,451
2017-01-16,346
2017-01-09,435
2017-01-02,200
2016-12-26,105
2016-12-19,234
2016-12-12,142
2016-12-05,104
2016-11-28,237
2016-11-21,143
2016-11-14,329
2016-11-07,293
2016-10-31,269
2016-10-24,284
2016-10-17,300
2016-10-10,236
2016-10-03,250
2016-09-26,273
2016-09-19,266
2016-09-12,377
2016-09-05,248
2016-08-29,412
2016-08-22,367
2016-08-15,260
2016-08-08,279
2016-08-01,273
2016-07-25,424
2016-07-18,336
2016-07-11,408
2016-07-04,317
2016-06-27,376
2016-06-20,491
2016-06-13,254
2016-06-06,292
2016-05-30,146
2016-05-23,297
2016-05-16,254
2016-05-09,211
2016-05-02,236
2016-04-25,278
2016-04-18,394
2016-04-11,381
2016-04-04,297
2016-03-28,327
2016-03-21,261
2016-03-14,286
2016-03-07,210
2016-02-29,254
2016-02-22,170
2016-02-15,203
2016-02-08,253
2016-02-01,198
2016-01-25,240
2016-01-18,342
2016-01-11,258
2016-01-04,299
2015-12-28,66
